67550,MULTICHIPS (LANINA A. V.  IE),Россия,,"eat food, semi-finished products, bakery and confectionery, products, operating in the market since 2009., ПАВ. ФОРУМ, СТЕНД FG110 / PAV. FORUM, STAND FG110",+7 (980) 327-6527,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67551,MULTTOWN BREW,Россия,,"producer of flat potato chips in the territory of Russia and, manufactures products under the MULTICHIPS brand., ПАВ. 2, ЗАЛ 3, СТЕНД 23A30 / PAV. 2, HALL 3, STAND 23A30",+7 (926) 714-7304,,,,,prodexpo_2025,,"{""stand"": ""23""}",2026-06-19T21:18:25.168506+00:00
67552,MUTLU MAKARNACLIK SANAYI VE TICARET A. Ş.,Турция,,"2025, ПАВИЛЬОН ФОРУМ, СТЕНД FD020",+90 3423371884,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67553,MUTLUKAL GIDA SANAYİ TİC.  A. Ş,Турция,,"sector, Mutlu Makarnacilik is among the 10 largest pasta, facilities in the world., ПАВ. 8, ЗАЛ 3, СТЕНД 83C14 / PAV. 8, HALL 3, STAND 83C14",+90 5321135719,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.168506+00:00
67554,NANTONG FOODWE FOODS CO.  LTD,Китай,,"The company spends all its efforts to develop Tortilla, bread and produce healthier and more delicious tortillas., ПАВ. 8, ЗАЛ 2, СТЕНД 82C88 / PAV. 8, HALL 2, STAND 82C88",+86 51388833023,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.168506+00:00
67555,NATURAL DEHYDRATED VEGETABLES (P) LTD,Индия,,"while, we have kept close business relationships with more, than ten famous food factories., ПАВ. 8, ЗАЛ 3, СТЕНД 83B71 / PAV. 8, HALL 3, STAND 83B71",+91 2844 286,,,,,prodexpo_2025,,"{""stand"": ""83""}",2026-06-19T21:18:25.168506+00:00
67556,NETTO FOODS,Бразилия,,"Spicy Pate, Tuna Pate, Tuna Pate with corn, Tuna Pate with, vegetables., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+55 11992839619,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.168506+00:00
67557,NEW SCHOOL BREWERY,Россия,,"2025, Скачивайте приложение Бакалея:, РЕКЛАМА",+7 (991) 240-6645,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67558,NICOLAS INTERNATIONAL,Франция,,"Moscow, created by enthusiasts with extensive experience, in the industry. We create unique flavors and original recipes., ПАВ. ПРИБРЕЖНЫЙ, СТЕНД RS01 / PAV. RIVERSIDE, STAND RS01",+33 (4) 67-51-86-00,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67559,NOBEL CHOCOLATE,Турция,,"wines with exceptional value for money, while ensuring, maximum respect for and protection of the environment., ПАВ. 2, ЗАЛ 1, СТЕНД 21D55 / PAV. 2, HALL 1, STAND 21D55",+90 5302598653,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.168506+00:00
67560,TICARET LIMITED SIRKETI,Турция,,"global customers., ПАВ. 2, ЗАЛ 6, СТЕНД 26B40 / PAV. 2, HALL 6, STAND 26B40, NUREFSAN BISKUVI CIKOLATA GIDA SANAYI VE",+90 2125589948,,,,,prodexpo_2025,,"{""stand"": ""26""}",2026-06-19T21:18:25.168506+00:00
67561,OKF CORPORATION,Республика Корея,,"manufactures products under the OCARD and Blanc Bleu, brands., ПАВ. 5, ЗАЛ 2, СТЕНД 52A58 / PAV. 5, HALL 2, STAND 52A58",+8224911817,,,,,prodexpo_2025,,"{""stand"": ""52""}",2026-06-19T21:18:25.168506+00:00
67562,OLEIFICIO RANIERI S. U. R. L.,Италия,,"2025, ПАВИЛЬОН ФОРУМ, СТЕНД FD020",+39 075 8510039,,,,,prodexpo_2025,,,2026-06-19T21:18:25.168506+00:00
67563,ORGANIKA,Россия,,"walnut, grapeseed oil. Products for supermarkets and res-, taurants. PL., ПАВ. 1, СТЕНД 1D24 / PAV. 1, STAND 1D24",+7 (969) 053-2401,,,,,prodexpo_2025,,"{""stand"": ""1""}",2026-06-19T21:18:25.168506+00:00
67564,ORIGEM COFFEE,Бразилия,,"partner of the Amur Tiger Center, calls for the protection of, the environment., ПАВ. 2, ЗАЛ 1, СТЕНД 21E40 / PAV. 2, HALL 1, STAND 21E40",+55 5199618-2147,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.168506+00:00
67565,ORIGIN WINE STELLENBOSCH PTY LTD,ЮАР,,"ngle origin. Specialty coffee are beans that achieve, a quality score above 80 points, on a scale of 0 to 100., ПАВ. 8, ЗАЛ 2, СТЕНД 82B85 / PAV. 8, HALL 2, STAND 82B85",+27(0)21 8658100,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.168506+00:00
67566,OTTOGI CORPORATION,Республика Корея,,"7599, South Africa, TEL +27(0)21 8658100, ПАВ. 2, ЗАЛ 1, СТЕНД 21A30 / PAV. 2, HALL 1, STAND 21A30",+82 1063029251,,,,,prodexpo_2025,,"{""stand"": ""21""}",2026-06-19T21:18:25.168506+00:00
67567,PAKEL ÇİKOLATA GIDA SAN.  VE TİC.  LTD.  ŞTİ,Турция,,"the form of lozenges and JAKE vitamin high compressed, sugar free candies enriched with vitamins., ПАВ. 8, ЗАЛ 2, СТЕНД 82C40 / PAV. 8, HALL 2, STAND 82C40",+90 5530727675,,,,,prodexpo_2025,,"{""stand"": ""82""}",2026-06-19T21:18:25.168506+00:00
