id,name_clean,country,phone,email,website,description,source,is_duplicate,duplicate_of,created_at
141100,ABSHERON OLIVE GARDEN MMC,Азербайджан,,,,"Оливки, маслины
                                                                    Оливковое масло",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141105,ALTAY FOOD GIDA QAZAQSTAN,Казахстан,,,,"Кондитерские изделия
                                                                    Жевательная резинка
                                                                    Зефир, пастила, суфле, мармелад
                                                                    Какао и какао-продукты
                                                                    Карамель, ирис, леденцы
                                                                    Продукция халяль",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141109,ANJAN TM (SURPRISE ICE CREAM LLC),Узбекистан,,,,"Мороженое, замороженные десерты",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141117,BETTY&#039;S CAKE,Россия,,,,"Сыры
                                                                    Российский экспортёр
                                                                    Замороженные кондитерские и хлебобулочные изделия",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
142652,"BROMEXИНГРЕДИЕНТЫ, ДОБАВКИ, ПРЯНОСТИПольша11-369",Казахстан,,,,,foodexpo_kz_2025,False,,2026-06-30T06:52:55.811074+00:00
141101,AGORA WINERY,Россия,+7 (499) 782-9421,,,"Шампанское, игристые вина
                                                                    Вина
                                                                    Виноградные
                                                                    Коньяк",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141102,AL AMANAT,Россия,+7 (928) 673-8629,,,"Зерно и зернопродукты
                                                                    Крупы
                                                                    Ароматизированный чай
                                                                    Байховый (листовой) чай",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141104,ALFA AROM,Россия,+7 (495) 748-8874,,,"Кондитерские изделия
                                                                    Газированные напитки
                                                                    Ингредиенты для пищевой промышленности",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141110,APPLETON CIDERS,Россия,+7 (920) 099-5945,,,"Тонизирующие напитки
                                                                    Лимонады
                                                                    Медовуха
                                                                    Пиво
                                                                    Сидр
                                                                    Крафтовое пиво",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141111,AROMA KITCHEN,Россия,8 800 301-03 50,,,Ингредиенты для пищевой промышленности,prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141113,BALAM CONFECTIONERY,Туркменистан,+993 (12) 760-475,balam.bakery.2016@gmail.com,http://www.balam.tm.com,"Кондитерские изделия
                                                                    Вафли, печенье, пряники, крекеры",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141114,BARINOFF,Россия,+7 (495) 651-6113,,,"Сиропы для кофе
                                                                    Газированные напитки
                                                                    Соки, нектары, смузи
                                                                    Энергетические напитки
                                                                    Лимонады",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141098,"1МК, ООО",Россия,87847156200,,,Гастрономия,prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141108,ANDRIANO SOLINARI,Россия,+7 925 735-10-38,,,"Пряности, специи, приправы, дрожжи
                                                                    Сыры
                                                                    Варенье, джемы
                                                                    Горчица, хрен
                                                                    Соусы, маринады
                                                                    Гастрономия",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141112,ASPAN ASIA,Казахстан,+7 (775) 566-99-26,,,,prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141103,ALA SINTEZ,Казахстан,+7 705 420 5787,,,"Упаковочные материалы
                                                                    Упаковочное оборудование и машины
                                                                    Упаковочные системы",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141107,ANAGURELI (RATCHULI GVINO LLC),Грузия,,anagur5421@gmail.com,,Вина,prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141115,BARS CONFECTIONERY FACTORY,Туркменистан,,addresssales@bars.tm,,"Шоколад и шоколадные изделия, батончики
                                                                    Пироги, сдоба, кексы, рулеты",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141116,BATKEN FRUITS COMPANY LLC,Кыргызстан,,nukura.bfc@gmail.com,,"Хлопья, мюсли, каши быстрого приготовления, сухие завтраки
                                                                    Диабетические продукты
                                                                    Орехи, семечки, сухофрукты
                                                                    Диетическое питание
                                                                    Натуральные энергетические снеки",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141120,BLUE BIRD BERRIES LLC,Грузия,,,,"Свежие овощи, салаты, фрукты, ягоды, зелень",prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141127,CHOCO BLESSED LLC,Узбекистан,,,,,prodexpo_2026,False,,2026-06-30T06:52:36.992874+00:00
141128,CHORTOQ TM (JV CHORTOQ MINERAL WATER LLC),Узбекистан,,,,"Газированные напитки
                                                                    Лимонады
                                                                    Минеральная и лечебная вода
                                                                    Питьевая вода",prodexpo_2026,False,,2026-06-30T06:52:37.400759+00:00
141129,DARGETT,Армения,,,,,prodexpo_2026,False,,2026-06-30T06:52:37.400759+00:00
141133,ENNA,Азербайджан,,,,"Тонизирующие напитки
                                                                    Холодный чай, комбуча
                                                                    Энергетические напитки",prodexpo_2026,False,,2026-06-30T06:52:37.400759+00:00
